paper_id,num_figures
2604.27124v1,8
2604.27323v1,13
2604.27326v1,4
2604.27383v1,11
2604.27436v1,3
2604.27726v1,8
2604.27952v1,5
2604.28055v1,5
2604.28148v2,14
2605.00029v1,20
2605.00033v1,10
2605.00062v2,15
2605.00067v1,8
2605.00225v1,3
2605.00272v1,13
2605.00448v1,14
2605.00461v1,6
2605.00479v1,7
2605.00527v2,5
2605.00545v1,7
2605.00630v1,4
2605.00698v1,5
2605.00730v1,16
2605.00744v1,11
2605.00793v2,10
2605.00850v1,30
2605.00881v1,14
2605.00888v1,11
2605.00897v1,12
2605.00923v1,4
2605.00925v1,9
2605.00948v1,12
2605.00971v1,2
2605.01219v1,4
2605.01272v1,6
2605.01282v1,9
2605.01290v1,9
2605.01472v1,12
2605.01538v2,11
2605.01819v1,8
2605.01884v1,7
2605.01982v1,6
2605.02086v1,7
2605.02325v1,3
2605.02516v1,15
2605.02615v1,8
2605.02660v1,3
2605.02726v1,9
2605.02936v1,9
2605.02942v1,5
2605.02972v1,4
2605.03053v1,18
2605.03061v2,12
2605.03131v1,5
2605.03281v1,3
2605.03360v1,9
2605.03578v1,12
2605.03602v1,4
2605.03606v1,2
2605.03610v1,7
2605.03690v2,9
2605.03875v1,8
